source,target,distance
29,129,0.027269
29,132,1.1271
29,135,0.8509
29,136,0.92362
29,137,0.12462
29,141,0.99569
29,144,1.6115
29,147,2.9231
29,151,0.42468
29,159,2.0372
29,160,0.27864
29,161,0.12165
29,164,0.77952
29,165,0.42868
29,172,1.1726
29,174,0.33702
29,180,0.77545
29,186,0.33653
29,190,0.42863
29,194,0.081988
29,204,0.25939
29,208,0.61476
29,215,0.93592
29,216,0.12365
29,217,0.021112
29,220,0.95985
29,226,1.0541
29,230,0.82603
29,234,0.80372
29,241,0.43224
29,242,0.33502
29,246,0.12658
29,259,1.7634
29,271,0.34401
29,273,0.36465
29,274,0.19398
29,279,0.051286
29,281,0.72972
29,285,0.11933
29,287,0.12774
29,288,0.224
29,296,0.70955
29,298,0.0032061
29,306,0.77311
29,308,0.20088
29,313,0.39268
29,320,0.47301
29,331,0.62899
29,338,0.9987
29,343,0.60711
29,346,0.46329
29,348,0.44646
29,362,0.89686
29,372,1.1292
29,390,1.1403
29,393,0.5787
29,394,1.8293
29,400,0.90233
29,404,0.58753
29,407,0.40869
29,413,0.50424
29,415,0.95478
29,421,1.961
29,425,0.51297
29,437,0.97015
29,442,0.26079
29,443,1.0933
29,453,1.6271
29,457,0.0088829
29,472,0.033474
29,475,0.80351
29,476,1.7028
29,477,1.0065
29,490,0.69903
29,492,0.29254
29,493,1.0586
29,496,0.09223
29,497,0.25603
29,500,0.17876
42,46,2.1607
42,58,1.1262
42,60,0.50945
42,62,1.1406
42,68,0.024829
42,70,1.8142
42,78,0.66021
42,81,1.5616
42,82,0.35065
42,92,1.3028
42,97,0.97467
42,109,0.42043
42,119,0.79647
42,120,1.7532
42,125,1.0464
42,126,0.051584
42,129,0.9175
42,132,0.18231
42,135,1.7957
42,136,1.8684
42,137,1.0694
42,141,0.050925
42,144,2.5563
42,147,3.8679
42,151,0.52009
42,159,2.9819
42,160,1.2234
42,161,0.82312
42,164,0.16524
42,165,0.51609
42,172,2.1174
42,174,0.60774
42,180,0.16932
42,186,0.60823
42,190,0.51613
42,194,0.86278
42,204,1.2042
42,208,1.5595
42,215,0.0088466
42,216,0.82112
42,217,0.96588
42,220,1.9046
42,226,0.10935
42,230,1.7708
42,234,0.14104
42,241,0.51252
42,242,1.2798
42,246,1.0713
42,259,2.7082
42,271,1.2888
42,273,1.3094
42,274,0.75079
42,279,0.99605
42,281,0.21504
42,285,1.0641
42,287,0.81703
42,288,1.1688
42,296,0.23522
42,298,0.94797
42,306,0.17166
42,308,1.1456
42,313,0.55209
42,320,0.47176
42,331,0.31578
42,338,1.9435
42,343,1.5519
42,346,0.48147
42,348,0.49831
42,362,0.047901
42,372,0.18442
42,390,0.19555
42,393,0.36606
42,394,2.7741
42,400,1.8471
42,404,0.35724
42,407,1.3535
42,413,0.44052
42,415,1.8995
42,421,2.9058
42,425,1.4577
42,437,0.025382
42,442,0.68397
42,443,0.14858
42,453,2.5719
42,457,0.93588
42,472,0.97824
42,475,1.7483
42,476,2.6475
42,477,0.061736
42,490,0.24574
42,492,1.2373
42,493,2.0034
42,496,1.037
42,497,1.2008
42,500,0.766
46,58,1.0345
46,60,1.6512
46,62,1.02
46,68,2.1855
46,70,0.34642
46,78,1.5004
46,81,0.59908
46,82,1.81
46,92,0.85786
46,97,1.186
46,109,1.7402
46,119,1.3642
46,120,0.40742
46,125,1.1143
46,126,2.1091
46,129,1.2432
46,132,2.343
46,135,0.36499
46,136,0.29226
46,137,1.0913
46,141,2.2116
46,144,0.39561
46,147,1.7072
46,151,1.6406
46,159,0.82128
46,160,0.93725
46,161,1.3375
46,164,1.9954
46,165,1.6446
46,172,0.043276
46,174,1.5529
46,180,1.9913
46,186,1.5524
46,190,1.6445
46,194,1.2979
46,204,0.9565
46,208,0.60113
46,215,2.1518
46,216,1.3395
46,217,1.1948
46,220,0.25603
46,226,2.27
46,230,0.38985
46,234,2.0196
46,241,1.6481
46,242,0.88087
46,246,1.0893
46,259,0.54755
46,271,0.87188
46,273,0.85124
46,274,1.4099
46,279,1.1646
46,281,1.9456
46,285,1.0966
46,287,1.3436
46,288,0.99189
46,296,1.9254
46,298,1.2127
46,306,1.989
46,308,1.015
46,313,1.6086
46,320,1.6889
46,331,1.8449
46,338,0.21719
46,343,0.60878
46,346,1.6792
46,348,1.6623
46,362,2.1128
46,372,2.3451
46,390,2.3562
46,393,1.7946
46,394,0.61344
46,400,0.31356
46,404,1.8034
46,407,0.8072
46,413,1.7201
46,415,0.26111
46,421,0.74514
46,425,0.70292
46,437,2.186
46,442,1.4767
46,443,2.3092
46,453,0.41121
46,457,1.2248
46,472,1.1824
46,475,0.41238
46,476,0.48686
46,477,2.2224
46,490,1.9149
46,492,0.92335
46,493,0.15728
46,496,1.1237
46,497,0.95986
46,500,1.3947
58,60,0.6167
58,62,0.014487
58,68,1.151
58,70,0.68808
58,78,0.46594
58,81,0.43542
58,82,0.7755
58,92,0.17664
58,97,0.15149
58,109,0.70573
58,119,0.32969
58,120,0.62707
58,125,0.079789
58,126,1.0746
58,129,0.20866
58,132,1.3085
58,135,0.66951
58,136,0.74223
58,137,0.056769
58,141,1.1771
58,144,1.4301
58,147,2.7417
58,151,0.60607
58,159,1.8558
58,160,0.097251
58,161,0.30304
58,164,0.96091
58,165,0.61007
58,172,0.99122
58,174,0.51841
58,180,0.95684
58,186,0.51792
58,190,0.61002
58,194,0.26338
58,204,0.077996
58,208,0.43337
58,215,1.1173
58,216,0.30504
58,217,0.16028
58,220,0.77846
58,226,1.2355
58,230,0.64464
58,234,0.98511
58,241,0.61363
58,242,0.15363
58,246,0.054814
58,259,1.5821
58,271,0.16262
58,273,0.18326
58,274,0.37537
58,279,0.13011
58,281,0.91111
58,285,0.062066
58,287,0.30913
58,288,0.042612
58,296,0.89094
58,298,0.17819
58,306,0.9545
58,308,0.019487
58,313,0.57407
58,320,0.6544
58,331,0.81038
58,338,0.81731
58,343,0.42571
58,346,0.64468
58,348,0.62785
58,362,1.0783
58,372,1.3106
58,390,1.3217
58,393,0.7601
58,394,1.6479
58,400,0.72093
58,404,0.76892
58,407,0.2273
58,413,0.68563
58,415,0.77339
58,421,1.7796
58,425,0.33157
58,437,1.1515
58,442,0.44218
58,443,1.2747
58,453,1.4457
58,457,0.19027
58,472,0.14792
58,475,0.62212
58,476,1.5214
58,477,1.1879
58,490,0.88042
58,492,0.11115
58,493,0.87721
58,496,0.089162
58,497,0.074637
58,500,0.36015
60,62,0.63119
60,68,0.53428
60,70,1.3048
60,78,0.15076
60,81,1.0521
60,82,0.1588
60,92,0.79334
60,97,0.46522
60,109,0.089021
60,119,0.28701
60,120,1.2438
60,125,0.53692
60,126,0.45787
60,129,0.40804
60,132,0.69176
60,135,1.2862
60,136,1.3589
60,137,0.55994
60,141,0.56038
60,144,2.0468
60,147,3.3584
60,151,0.010634
60,159,2.4725
60,160,0.71396
60,161,0.31367
60,164,0.34421
60,165,0.0066335
60,172,1.6079
60,174,0.09829
60,180,0.34013
60,186,0.098781
60,190,0.0066833
60,194,0.35332
60,204,0.6947
60,208,1.0501
60,215,0.5006
60,216,0.31166
60,217,0.45642
60,220,1.3952
60,226,0.6188
60,230,1.2613
60,234,0.36841
60,241,0.003072
60,242,0.77033
60,246,0.56189
60,259,2.1988
60,271,0.77932
60,273,0.79996
60,274,0.24134
60,279,0.4866
60,281,0.29441
60,285,0.55464
60,287,0.30758
60,288,0.65932
60,296,0.27423
60,298,0.43852
60,306,0.33779
60,308,0.63619
60,313,0.042636
60,320,0.037695
60,331,0.19367
60,338,1.434
60,343,1.0424
60,346,0.027979
60,348,0.011143
60,362,0.46155
60,372,0.69387
60,390,0.705
60,393,0.14339
60,394,2.2646
60,400,1.3376
60,404,0.15222
60,407,0.844
60,413,0.06893
60,415,1.3901
60,421,2.3963
60,425,0.94828
60,437,0.53483
60,442,0.17452
60,443,0.65803
60,453,2.0624
60,457,0.42643
60,472,0.46879
60,475,1.2388
60,476,2.1381
60,477,0.57119
60,490,0.26372
60,492,0.72786
60,493,1.4939
60,496,0.52754
60,497,0.69134
60,500,0.25655
62,68,1.1655
62,70,0.67359
62,78,0.48043
62,81,0.42093
62,82,0.78999
62,92,0.16215
62,97,0.16597
62,109,0.72021
62,119,0.34418
62,120,0.61259
62,125,0.094276
62,126,1.0891
62,129,0.22315
62,132,1.323
62,135,0.65502
62,136,0.72775
62,137,0.071256
62,141,1.1916
62,144,1.4156
62,147,2.7272
62,151,0.62056
62,159,1.8413
62,160,0.082764
62,161,0.31753
62,164,0.9754
62,165,0.62456
62,172,0.97673
62,174,0.5329
62,180,0.97133
62,186,0.53241
62,190,0.62451
62,194,0.27787
62,204,0.063509
62,208,0.41888
62,215,1.1318
62,216,0.31953
